feature,mean,scale
interest_rate_lag2_yoy_pct,-0.014390314071246363,0.14110481049749501
log_gdp_diff1_lag1,0.02602066244617064,0.0172322234068865
log_gdp_diff1_lag4,0.026676645533048896,0.016737852830299344
log_gdp_diff1_diff1,-0.0003612874570446714,0.010491227378648542
log_gdp_diff1_diff4,-0.0012557409784107586,0.020408298452909993
log_gdp_diff4_lag1,0.10453512767018801,0.05897993252321044
log_gdp_diff4_lag4,0.10614570483683226,0.05809450920427253
log_gdp_diff4_diff1,-0.0012557409784107586,0.020408298452909993
log_gdp_diff4_diff4,-0.002926928502794076,0.0573737103635043
inflation_scaled_lag1,-0.008831021865884782,0.9853102335264562
inflation_scaled_lag4,-2.6636399179514847e-16,0.9837387536759296
inflation_scaled_diff1,-0.006432547371380459,0.2879615282051921
inflation_scaled_diff4,-0.01948182538669909,0.8678117223138638
interest_rate_scaled_lag1,0.007085748885127299,0.9847507567389111
interest_rate_scaled_lag4,-5.461581008236657e-16,0.9837387536759294
interest_rate_scaled_diff1,-0.029448745690597005,0.17209248785818923
interest_rate_scaled_diff4,-0.10003021180880485,0.5600338293280636
fdi_pct_gdp_scaled_lag1,-0.013849226469171708,0.98759916318389
fdi_pct_gdp_scaled_lag4,-3.482877069186983e-16,0.9837387536759297
fdi_pct_gdp_scaled_diff1,-0.02220584254903995,0.181048577121225
fdi_pct_gdp_scaled_diff4,-0.09932289773403337,0.6357341996951229
investment_pct_gdp_scaled_lag1,-0.02429731509379365,0.995573140336492
investment_pct_gdp_scaled_lag4,-2.2034345674213793e-15,0.9837387536759294
investment_pct_gdp_scaled_diff1,0.006074962789721837,0.15282052135491678
investment_pct_gdp_scaled_diff4,0.020626397096977413,0.5091081355767331
export_pct_gdp_scaled_lag1,0.04115685737940918,1.0173254133883547
export_pct_gdp_scaled_lag4,-8.505740914466925e-16,0.9837387536759296
export_pct_gdp_scaled_diff1,0.03080261351272313,0.06368207913968299
export_pct_gdp_scaled_diff4,0.11981225320559218,0.21278600703501568
unemployment_rate_scaled_lag1,-0.018610961725798337,0.9906992075089008
unemployment_rate_scaled_lag4,-6.76877908561789e-16,0.9837387536759293
unemployment_rate_scaled_diff1,-0.007810718383517857,0.21498799637573712
unemployment_rate_scaled_diff4,-0.03130979635590206,0.6671685898336673
gov_spending_pct_gdp_scaled_lag1,0.00890939827163683,0.985338228721849
gov_spending_pct_gdp_scaled_lag4,5.407860539303182e-16,0.9837387536759293
gov_spending_pct_gdp_scaled_diff1,0.0030440705612846757,0.12448283183032784
gov_spending_pct_gdp_scaled_diff4,0.011336472940436715,0.4097920472323416
log_gdp_raw_lag1,4.787739331634764,1.0429049909378514
log_gdp_raw_lag4,4.751133531968842,1.0170957135110965
log_gdp_raw_diff1,0.025809112344982264,0.017388657574909587
log_gdp_raw_diff4,0.10366400160626979,0.05971619385500769
log_gdp_raw_qoq_pct,0.005788051485013879,0.0042099748672096236
log_gdp_raw_yoy_pct,0.02331241954185735,0.014796547353839949
log_log_gdp_raw,1.5427793617528425,0.23095219384221588
log_fdi_pct_gdp_lag1,1.5949745867620864,0.28051937435541924
log_fdi_pct_gdp_lag4,1.598948040105771,0.27940057111597205
log_fdi_pct_gdp_diff1,-0.00606472908122133,0.05126886671744465
log_fdi_pct_gdp_diff4,-0.026402623672438934,0.17801291959925372
log_fdi_pct_gdp_qoq_pct,-0.002901119062073937,0.032527749721998574
log_fdi_pct_gdp_yoy_pct,-0.008437125158086976,0.11945132791139725
log_log_fdi_pct_gdp,0.45198515685872365,0.16382465087367953
log_investment_pct_gdp_lag1,3.4683474930936673,0.08553055175136692
log_investment_pct_gdp_lag4,3.4704659229651305,0.08448321216547722
log_investment_pct_gdp_diff1,0.0005996825693679211,0.01255897496629837
log_investment_pct_gdp_diff4,0.002024562575729279,0.04227752978541462
log_investment_pct_gdp_qoq_pct,0.000185632826169006,0.003570067481115076
log_investment_pct_gdp_yoy_pct,0.0006790568359086378,0.012042302272506368
log_log_investment_pct_gdp,1.243176041342317,0.024677451057033093
log_export_pct_gdp_lag1,4.193519999037937,0.2432437913331064
log_export_pct_gdp_lag4,4.184815288556967,0.23698334375113098
log_export_pct_gdp_diff1,0.008066014370255233,0.01602219900606834
log_export_pct_gdp_diff4,0.030348194166649235,0.051931595672706624
log_export_pct_gdp_qoq_pct,0.0020139215663007833,0.004006709065972111
