month,topic,n_comments,n_unique_authors,like_sum,like_mean,avg_sentiment,median_sentiment,std_sentiment,positive_ratio,negative_ratio,neutral_ratio,net_sentiment,weighted_sentiment_like,p10_sentiment,p90_sentiment,was_missing_period,month_end
2021-08,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2021-08-31
2021-09,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2021-09-30
2021-10,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2021-10-31
2021-11,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2021-11-30
2021-12,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2021-12-31
2022-01,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2022-01-31
2022-02,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2022-02-28
2022-03,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2022-03-31
2022-04,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2022-04-30
2022-05,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2022-05-31
2022-06,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2022-06-30
2022-07,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2022-07-31
2022-08,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2022-08-31
2022-09,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2022-09-30
