quarter,topic,n_comments,n_unique_authors,like_sum,like_mean,avg_sentiment,median_sentiment,std_sentiment,positive_ratio,negative_ratio,neutral_ratio,net_sentiment,weighted_sentiment_like,p10_sentiment,p90_sentiment,was_missing_period,quarter_end
2020Q2,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2020-06-30
2020Q3,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2020-09-30
2020Q4,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2020-12-31
2021Q1,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2021-03-31
2021Q2,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2021-06-30
2021Q3,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2021-09-30
2021Q4,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2021-12-31
2022Q1,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2022-03-31
2022Q2,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2022-06-30
2022Q3,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2022-09-30
2022Q4,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2022-12-31
2023Q1,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2023-03-31
2023Q2,economic_growth,260.0,228.0,34.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,0,2023-06-30
2023Q3,economic_growth,2938.0,2448.0,1048.0,0.3567052416609939,0.06614530292716134,0.0,0.27430016821230857,0.14601769911504425,0.04322668481960518,0.8107556160653506,0.10279101429543908,0.05974292523833416,0.0,0.4404,0,2023-09-30
2023Q4,economic_growth,105.0,86.0,13.0,0.12380952380952381,0.08427142857142855,0.0,0.31167843380462035,0.12380952380952381,0.047619047619047616,0.8285714285714286,0.0761904761904762,0.1105957627118644,0.0,0.6749400000000005,0,2023-12-31
2024Q1,economic_growth,610.0,559.0,1427.0,2.339344262295082,0.007788032786885247,0.0,0.4818112098209171,0.36885245901639346,0.3655737704918033,0.26557377049180325,0.0032786885245901787,-0.02451006381934218,-0.67104,0.6600400000000001,0,2024-03-31
2024Q2,economic_growth,1132.0,961.0,1036.0,0.9151943462897526,0.04369814487632508,0.0,0.45311090528691117,0.3250883392226148,0.26325088339222613,0.411660777385159,0.06183745583038869,0.020290313653136525,-0.60645,0.7086699999999998,0,2024-06-30
2024Q3,economic_growth,542.0,476.0,1705.0,3.1457564575645756,0.037712915129151287,0.0,0.4936869453588317,0.35239852398523985,0.31365313653136534,0.3339483394833948,0.038745387453874514,-0.22606706720071199,-0.6881799999999999,0.7417600000000003,0,2024-09-30
2024Q4,economic_growth,325.0,303.0,204.0,0.6276923076923077,0.07829815384615385,0.0,0.4920684470069088,0.4123076923076923,0.28923076923076924,0.29846153846153844,0.12307692307692308,0.09760907372400755,-0.63658,0.7647200000000001,0,2024-12-31
2025Q1,economic_growth,329.0,301.0,1086.0,3.3009118541033433,0.08123343465045592,0.0,0.4814009500742334,0.3829787234042553,0.2948328267477204,0.3221884498480243,0.08814589665653494,-0.023980212014134247,-0.5875199999999999,0.7515599999999999,0,2025-03-31
2025Q2,economic_growth,129.0,117.0,111.0,0.8604651162790697,0.08731162790697676,0.0,0.4841322328125968,0.35658914728682173,0.2713178294573643,0.37209302325581395,0.0852713178294574,0.005535833333333333,-0.5886,0.8196800000000001,0,2025-06-30
2025Q3,economic_growth,189.0,172.0,100.0,0.5291005291005291,0.07987354497354496,0.0,0.484845992699573,0.3862433862433862,0.2698412698412698,0.3439153439153439,0.1164021164021164,0.10448581314878892,-0.6033000000000001,0.7703800000000002,0,2025-09-30
2025Q4,economic_growth,359.0,324.0,127.0,0.35376044568245124,0.04007298050139275,0.0,0.4890034034906601,0.35376044568245124,0.31197771587743733,0.3342618384401114,0.04178272980501391,0.029477366255144032,-0.6043,0.7573,0,2025-12-31
2026Q1,economic_growth,307.0,270.0,191.0,0.6221498371335505,0.10124429967426711,0.0,0.48908107691448405,0.4201954397394137,0.2736156351791531,0.30618892508143325,0.1465798045602606,0.050193373493975915,-0.5771999999999999,0.7838200000000011,0,2026-03-31
2019Q3,inflation,3758.0,2566.0,11827.0,3.147152740819585,0.02955941990420436,0.0,0.19927186892105125,0.09047365620010644,0.03565726450239489,0.8738690792974987,0.054816391697711554,0.026494116137311518,0.0,0.0,0,2019-09-30
2019Q4,inflation,352.0,291.0,339.0,0.9630681818181818,0.021813920454545454,0.0,0.19531327835110382,0.07954545454545454,0.03977272727272727,0.8806818181818182,0.03977272727272727,0.023530246020260492,0.0,0.0,0,2019-12-31
2020Q1,inflation,250.0,218.0,223.0,0.892,0.003763199999999998,0.0,0.16952225951669764,0.056,0.044,0.9,0.012000000000000004,0.032254334038054965,0.0,0.0,0,2020-03-31
2020Q2,inflation,109.0,97.0,51.0,0.46788990825688076,0.05516146788990826,0.0,0.21881171506497815,0.11009174311926606,0.01834862385321101,0.8715596330275229,0.09174311926605505,0.085140625,0.0,0.296,0,2020-06-30
2020Q3,inflation,162.0,135.0,47.0,0.29012345679012347,0.03682283950617284,0.0,0.1845839452096368,0.08024691358024691,0.018518518518518517,0.9012345679012346,0.06172839506172839,0.03455885167464114,0.0,0.0,0,2020-09-30
2020Q4,inflation,89.0,77.0,16.0,0.1797752808988764,0.05762921348314606,0.0,0.21212132045463938,0.0898876404494382,0.011235955056179775,0.898876404494382,0.07865168539325842,0.037571428571428575,0.0,0.0,0,2020-12-31
2021Q1,inflation,14.0,11.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2021-03-31
2021Q2,inflation,27.0,24.0,1.0,0.037037037037037035,-0.008888888888888892,0.0,0.21911799830111445,0.1111111111111111,0.07407407407407407,0.8148148148148148,0.037037037037037035,-0.008571428571428575,0.0,0.030880000000000168,0,2021-06-30
2021Q3,inflation,9.0,8.0,0.0,0.0,0.032888888888888884,0.0,0.09866666666666665,0.1111111111111111,0.0,0.8888888888888888,0.1111111111111111,0.032888888888888884,0.0,0.05920000000000005,0,2021-09-30
2021Q4,inflation,10.0,8.0,0.0,0.0,0.13628,0.0,0.3158003511362484,0.2,0.0,0.8,0.2,0.13628,0.0,0.4589199999999998,0,2021-12-31
2022Q1,inflation,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2022-03-31
2022Q2,inflation,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2022-06-30
2022Q3,inflation,11.0,8.0,2.0,0.18181818181818182,0.0011727272727272728,0.0,0.003889496345053151,0.0,0.0,1.0,0.0,0.0009923076923076923,0.0,0.0,0,2022-09-30
2022Q4,inflation,13.0,11.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2022-12-31
2023Q1,inflation,4.0,4.0,0.0,0.0,0.0388,0.0,0.6367308641281129,0.25,0.25,0.5,0.0,0.0388,-0.49021,0.5988500000000001,0,2023-03-31
2023Q2,inflation,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2023-06-30
2023Q3,inflation,5.0,5.0,0.0,0.0,-0.035120000000000005,0.0,0.33552158201820637,0.2,0.2,0.6,0.0,-0.035120000000000005,-0.33443999999999996,0.22908,0,2023-09-30
2023Q4,inflation,4.0,4.0,0.0,0.0,0.167425,0.0,0.33485,0.25,0.0,0.75,0.25,0.167425,0.0,0.4687900000000001,0,2023-12-31
2024Q1,inflation,0.0,0.0,0.0,0.0,0.0837125,0.0,0.167425,0.125,0.0,0.875,0.125,0.0837125,0.0,0.23439500000000005,1,2024-03-31
2024Q2,inflation,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2024-06-30
2024Q3,inflation,1.0,1.0,0.0,0.0,0.7003,0.7003,0.0,1.0,0.0,0.0,1.0,0.7003,0.7003,0.7003,0,2024-09-30
2024Q4,inflation,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2024-12-31
2025Q1,inflation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2025-03-31
2025Q2,inflation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2025-06-30
2025Q3,inflation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2025-09-30
2025Q4,inflation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2025-12-31
2026Q1,inflation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2026-03-31
